[vis1_Kcomplexes/CZ-A1]
   50.4113	    0.6544
  101.7100	    1.1305
  168.4632	    1.1738
  281.6234	    0.8708
  321.2771	    1.3470
  332.8355	    1.4336
  370.7143	    1.4769
  420.9740	    1.4336
  495.6494	    1.4336
  516.2121	    1.0440
  527.2944	    1.3903
  533.0952	    1.3903
  548.6797	    1.0873
  567.7706	    1.3470
  584.4805	    1.0873
  597.5974	    1.4336
  611.7965	    1.3037
  636.9913	    1.0873
  649.3723	    1.3037
  663.5281	    1.3903
  665.9524	    1.3903
  702.6190	    1.3903
  704.6970	    1.1738
  740.4978	    1.3470
  742.3593	    1.1738
  764.2641	    1.0007
  782.6623	    1.2604
  806.2987	    1.2171
  811.2771	    1.3903
  819.0693	    1.5202
 1254.6104	    1.3470
 1441.5801	    1.3037
 1664.3939	    1.2171
 1683.3983	    1.3037
